Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|B|(argin uint16 u16channel)boolean ;|2|HEADER|1|||||0|0|0|0||
InjCtl_EveRTSt_FarCtlUsCtl|C|();|SCH.6|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveRTSt_FarCtlUsCtl|
InjCtl_EveTDC_FarCtlUsCtl|B|();|SCH.10|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveTDC_FarCtlUsCtl|
InjCtl_SdlFast_FarCtlUsCtl|C|();|SCH.11|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event  InjCtl_SdlFast_FarCtlUsCtl|
INJFARCTLUSCTL_vidAdaplambdaMean|A|();|FCT3.8|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de calculer la valeur moyenne du correcteur de richesse de la régulation de richesse.|
INJFARCTLUSCTL_vidAdaplamfeebcal|C|();|FCT3.7|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de mettre en oeuvre une stratégie rapide d'adaptation capable d'assurer la cohérence entre le créneau de richesse demandé par le diag KTA et le lambda réel.|
INJFARCTLUSCTL_vidCalcGain|D|();|FCT2.8|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Selon que l’on est dans une phase d’enrichissement sur un step ou un lump, ou sur une phase d’appauvrissement également sur un step ou un lump, on applique un gain d’atténuation différent.|
INJFARCTLUSCTL_vidCalcLFB|C|();|FCT6.1|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de déterminer le correcteur de richesse de la régulation de richesse.|
INJFARCTLUSCTL_vidCalcLFBFilt|C|();|FCT6.5|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction est appelé si l'indicateur de prise en compte des sauts de  richesse est mis à "1"|
INJFARCTLUSCTL_vidCalcLump|C|();|FCT4.3|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Ce processus calcule les sauts de richesse qui sont appliqués par le processus Calculer Lambda Feedback. Il est déclenché par l' automate de gestion de poursuite de richesse sur certaines transitions.|
INJFARCTLUSCTL_vidCalcStep|C|();|FCT5.1|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|La régulation de richesse fonctionne suivant 2 modes de poursuite, lent et rapide. Ce mode de poursuite est donné par l' automate Feedback_calculations_state.|
INJFARCTLUSCTL_vidCallbdSafDiag|E|();|FCT6.4|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction est appelée si Indicateur d' activation de la régulation de richesse  pour l' IAE est active.|
INJFARCTLUSCTL_vidCalLFbDelayOk|C|();|FCT1.7|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Filtrage du premier ordre de Lambda_feedback lorsque le mélange au niveau du capteur est resté riche ou pauvre pendant un certain temps.|
INJFARCTLUSCTL_vidCalLFBLean|E|();|FCT6.2|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de déterminer le correcteur richesse de la régulation de la richesse pour le cas pauvre.|
INJFARCTLUSCTL_vidCalLFBRich|E|();|FCT6.3|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de déterminer le correcteur richesse de la régulation de la richesse pour le cas riche.|
INJFARCTLUSCTL_vidControlEna|C|();|FCT5.9|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Le calcul de Lambda_feedback est effectué tous les TDC de manière asynchrone avec l' automate de  détermination des pas et sauts de richesse. Pour cette raison, un indicateur Lambda_waiting est utilisé pour  prendre en compte les sauts de richesse.|
INJFARCTLUSCTL_vidCounter|B|();|FCT2.7|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Le booléen ‘Lbda_active_gain_attenu_rich’ permet la prise en compte des gains d’atténuation dans la boucle de richesse.|
INJFARCTLUSCTL_vidDecCounter|D|();|FCT5.10|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet la décrementation du Compteur du temps de transition entre riche et pauvre ,la durée maximum de la poursuite lente ainsi que le délai avant filtrage du Lambda_feedback en mode rapide.|
INJFARCTLUSCTL_vidEdSafRqToSfEnl|B|();|FCT3.2|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Affecter lla valeur du pas de richesse IAE riche à la valeur du pas de Lambda_feedback.|
INJFARCTLUSCTL_vidEdSfEnlToSfEnr|B|();|FCT3.3|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Affecter la valeur du pas de richesse IAE pauvre à la valeur du pas Lambda_Feedback , la valeur du saut de richesse IAE pauvre à la valeur du saut de Lambda_feedback et mettre Indicateur de prise en compte des sauts de richesse à "1".|
INJFARCTLUSCTL_vidEdSfEnrToSfEnl|B|();|FCT3.4|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Affecter la valeur d u pas de richesse IAE riche  à la valeur du pas de Lambda_Feedback , la valeur du saut de richesse IAE riche à  la valeur du saut de Lambda_feedback et mettre Indicateur de prise en compte des sauts de richesse à "1".|
INJFARCTLUSCTL_vidFCallbdLdDerv|D|();|FCT6.6|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de déterminer la dérivée de la charge moteur entre deux PMH|
INJFARCTLUSCTL_vidFFastTracking|C|();|FCT4.1|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Indicateur d' enclenchement du Fast Tracking|
INJFARCTLUSCTL_vidFuncCalAttGain|B|();|FCT2.1|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Pour résoudre le problème de l'EPT A806 n° 602 ,on choisit de diminuer l’influence de la correction de richesse lors des transitoires de décollage à froid en lui appliquant un gain d’atténuation.|
INJFARCTLUSCTL_vidFuncCalLFbFilt|D|();|FCT1.5|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Figeage de Lambda_feedback_filtered en phase de diagnostic catalyseur intrusif|
INJFARCTLUSCTL_vidFuncCtlFdInjAc|D|();|FCT5.8|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Le calcul de Lambda_feedback est effectué tous les TDC de manière asynchrone avec l' automate de  détermination des pas et sauts de richesse|
INJFARCTLUSCTL_vidIniAdap|A|();|FCT3.9|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|cette fonction permet d'initialiser les variables de l'Adaptation de la correction de régulation de richesse moyennée.|
INJFARCTLUSCTL_vidInit|F|();|FCT1.2|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Fonction d'initialisation au reset|
INJFARCTLUSCTL_vidInitClosedLoop|E|();|FCT6.9|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Sur la première activation de l' automate Feedback_calculations_state après démarrage, on initialise la valeur  du Lambda_feedback à partir des corrections de richesse en cours d' application pour éviter un saut de richesse important .|
INJFARCTLUSCTL_vidInitFedSaf|B|();|FCT1.3|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Fonction d'initialisation de l'automate Feedback_saf_diag_calc_state|
INJFARCTLUSCTL_vidInitFeedCalc|C|();|FCT4.8|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Fonction d'initialisation du calcul du bouclage|
INJFARCTLUSCTL_vidInitFeedParam|C|();|FCT6.8|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Fonction d'initialisation des paramètres Feedback.|
INJFARCTLUSCTL_vidInitFeedState|C|();|FCT1.4|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Fonction d'initialisation de l'automate Feedback_calculations_state|
INJFARCTLUSCTL_vidInitLambdaFB|B|();|FCT6.10|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Si l’autorisation de bouclage est nulle, le correcteur de richesse est mis à zéro.|
INJFARCTLUSCTL_vidInitOutput|I|();|FCT1.1|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Fonction d'initialisation des variables de sortie|
INJFARCTLUSCTL_vidIniUplamMaxMin|B|();|FCT3.5|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de tester l'initialisation des Indicateurs de calcul du Lambda feedback max et min.|
INJFARCTLUSCTL_vidLambdaGazDelay|C|();|FCT7.2|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Ajouter une valeur d’offset en nombre de PMH en mode gaz (Delta_PMH_gaz) au  temps de transfert (Transfer_count).|
INJFARCTLUSCTL_vidLamdaGazDelcal|B|();|FCT7.1|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Condition d'activation de la régulation de richesse en boucle fermée.|
INJFARCTLUSCTL_vidLbdaNotTrans|B|();|FCT2.4|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Le booléen ‘Ldba_transitoire_detect’ est remis à 0 sur un seuil bas pour éviter toutes oscillations.|
INJFARCTLUSCTL_vidLbdaTrans|B|();|FCT2.3|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|La détection de transitoire sur le régime et la charge .|
INJFARCTLUSCTL_vidLdbTrGainAttnu|B|();|FCT2.5|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Appliquer  un gain d’atténuation pour diminuer l’influence de la correction de richesse lors des transitoires  de décollage à froid .|
INJFARCTLUSCTL_vidLFbDelayNok|C|();|FCT1.8|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Filtrage du premier ordre de Lambda_feedback lorsque le mélange au niveau du capteur est resté riche ou pauvre pendant un certain temps.|
INJFARCTLUSCTL_vidLFbFilSDiagCta|D|();|FCT1.6|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|calcul de Lambda_feedback_filtered sans diagnostic catalyseur|
INJFARCTLUSCTL_vidLumpNotOnIdle|D|();|FCT4.5|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|L'appel de cette fonction est effectuée si l'etat de fonctionnement du moteur prend un état différent de l'etat ralenti de l' automate Engine_running_state.|
INJFARCTLUSCTL_vidLumpOnIdle|C|();|FCT4.4|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|L'appel de cette fonction est effectuée si l'etat de fonctionnement du moteur prend l'etat ralenti de l' automate Engine_running_state.|
INJFARCTLUSCTL_vidMeanCalc|B|();|FCT7.6|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Calcul de la valeur moyenne du correcteur de richesse de la régulation de richesse .|
INJFARCTLUSCTL_vidMeanFilt|B|();|FCT7.7|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Filtration de la valeur moyenne du correcteur de richesse de la régulation de richesse .|
INJFARCTLUSCTL_vidMeanLamFeedCal|B|();|FCT7.5|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Calcul de la moyenne du correcteur de richesse de la régulation de richesse puis sa filtration .|
INJFARCTLUSCTL_vidMgtFeedCalc|E|();|FCT4.2|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Automate de calcul de la boucle fermée de  richesse .|
INJFARCTLUSCTL_vidMonitorFedSaf|D|();|FCT3.1|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Les transitions sont évaluées à récurrence du moniteur rapide de la régulation de richesse, si  Moniteur_feedback_conds_state = FEEDBACK_FOR_SAF_ENABLED.|
INJFARCTLUSCTL_vidNotTrGainAttnu|D|();|FCT2.6|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Le calcul des gains d’atténuation en fonction de la température d’eau|
INJFARCTLUSCTL_vidRangeCalc|B|();|FCT7.3|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Calcul de l'amplitude du signal correcteur de richesse de la régulation de richesse .|
INJFARCTLUSCTL_vidRangeFilt|B|();|FCT7.4|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Calcul de l'amplitude du signal correcteur de richesse de la régulation de richesse après filtrage .|
INJFARCTLUSCTL_vidResetLFB|E|();|FCT6.7|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Fonction reset de correcteur de richesse .|
INJFARCTLUSCTL_vidSetlbdFltMdDly|C|();|FCT4.6|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de déterminer le délai avant filtrage du Lambda_feedback en mode  rapide.|
INJFARCTLUSCTL_vidSetlbdSlwMdDly|C|();|FCT4.7|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet de déterminer la durée maximum de la poursuite lente.|
INJFARCTLUSCTL_vidSetTransfCount|E|();|FCT5.4|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Optimisation de la fonction régulation richesse en fonction du vieillissement.|
INJFARCTLUSCTL_vidStepNotOnIdle|E|();|FCT5.3|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|L'appel de cette fonction est effectuée si l'etat de fonctionnement du moteur prend un état différent de l'etat ralenti de l' automate Engine_running_state.|
INJFARCTLUSCTL_vidStepOnIdle|D|();|FCT5.2|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|L'appel de cette fonction est effectuée si l'etat de fonctionnement du moteur prend l'etat ralenti de l' automate Engine_running_state.|
INJFARCTLUSCTL_vidTransDetect|D|();|FCT2.2|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|La détection de transitoire sur le régime et la charge est faite par le booléen ‘Ldba_transitoire_detect’ sur un  seuil haut. Pour éviter toutes oscillations, ce booléen est remis à 0 sur un seuil bas|
INJFARCTLUSCTL_vidTrsfCtNtOnIdle|H|();|FCT5.6|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|L'appel de cette fonction est effectuée si l'etat de fonctionnement du moteur prend un état différent de l'etat ralenti de l' automate Engine_running_state.|
INJFARCTLUSCTL_vidTrsfCtOnIdle|F|();|FCT5.5|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|L'appel de cette fonction est effectuée si l'etat de fonctionnement du moteur prend l'etat ralenti de l' automate Engine_running_state.|
INJFARCTLUSCTL_vidTrsfCttimescal|B|();|FCT5.7|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|calcul du terme correctif des paramètres de régulation de richesse|
INJFARCTLUSCTL_vidUplamMaxMinIni|A|();|FCT3.6|INJFARCTLUSCTL|0|PTS_DOC_5215083||||0|0|0|0|Cette fonction permet d'initialiser les Indicateurs de calcul du Lambda feedback max et min.|
SWFAIL_vidSoftwareErrorHook|B|();|1|HEADER|1|||||0|0|0|0||
