Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
Can_EveRst_FHCanF349_FlowMng|A|();|SCH2.6|FLOWMNG|1|PTS_DOC_5068508||||0|0|0|0|Evènement reset de l'ECU|
FLOWMNG_vidAlt_Cpt_Dem_Redem|D|();|FCT1.4|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Ce bloc permet le calcul de la variable AraMth_ctStaAcv|
FLOWMNG_vidAlt_Current|D|();|FCT5.6|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui determine le courant d'exitation de l'alternateur dependament du type de l'alternateur et des types de communication BSS et LIN|
FLOWMNG_vidAlt_Duty_Cycle|D|();|FCT5.5|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui determine le duty cycle de l'aternateur dependament de son type et des types de communication BSS et LIN,|
FLOWMNG_vidAlt_ID_Supplier|D|();|FCT5.7|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui traite l'identificateur du fournisseur de l'alternateur en fonction du type de l'aternateur et des types de communication BSS et LIN|
FLOWMNG_vidAlt_Load_Time|D|();|FCT5.10|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui traite le temps de chargement progressive de l'alternateur en fonction du type de l'alternateur et des types de communication BSS et LIN,|
FLOWMNG_vidAlt_Shut_Off|D|();|FCT5.9|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui détermine la valeur de d'arrêt de l'alternateur en fonction de BSS et LIN et détermine la sortie Ext_stPrgChLINDi_nEng en fonction de la vitesse du vilbroquin|
FLOWMNG_vidAlt_Voltage|E|();|FCT5.8|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui détermine le voltage de l'alternateur en fonction des deux types de communication BSS et LIN,|
FLOWMNG_vidAltFlowMng_Init|E|();|FCT5.3|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui initialise les variables de sorties sur évenement de RESET,|
FLOWMNG_vidAltFlowMng_Processing|D|();|FCT5.4|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Cette fonction traite : Gneric Duty cycle, Generic excitation current, Generic identifier supplier, Voltage request, Shut off value dependant of crankshaft speed, Progressive load  time|
FLOWMNG_vidBrk_CAN_Info|C|();|FCT2.1|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|fonction qui traite le flux de données relatives aux freinage en fonction de la présence ou d'abscence de l 'ABS ou de l'ESP.|
FLOWMNG_vidBrkDiagBVH2P|B|();|FCT2.4|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Cette fonction met à jour l'etat du frein primaire.|
FLOWMNG_vidBrkHorsDiagBVH2P|B|();|FCT2.2|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Cette fonction met à jour l'etat du frein primaire.|
FLOWMNG_vidBrkPush|D|();|FCT1.9|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui gère les informations relatives à l'appuie sur le frein.|
FLOWMNG_vidCANSeln|F|();|FCT3.1|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Cette stratégie définit quel paramètre CAN doit être pris en compte en fonction de l’architecture du véhicule,|
FLOWMNG_vidClu|C|();|FCT1.2|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Ce bloc traite les différents cas pour les signaux d'embrayage|
FLOWMNG_vidClu2|A|();|FCT6.7|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Ce bloc 2 traite les différents cas pour les signaux d'embrayage|
FLOWMNG_vidCtInitUpDate|D|();|FCT3.7|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction contenant toutes les fonctions de mise à jour compteurs|
FLOWMNG_vidCtInitUpDate2004|C|();|FCT4.3|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui mesure le temps d'arrêt Ext_ctSecEngStop2004.|
FLOWMNG_vidDAGMP_Traction|D|();|FCT1.10|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui détermine l'état du traction en fonction du type de DAGMP et de la boite à vitesse.|
FLOWMNG_vidDay_InitUpDate|D|();|FCT4.1|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction d'initilaisation du compteur jour|
FLOWMNG_vidDay_UpDate|D|();|FCT4.8|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui met à jour le compteur des secondes|
FLOWMNG_vidDayCtMng|D|();|FCT4.4|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Cette fonction gère la sélection des flux compteur temporel ou des paramètres seconde, jour, année.|
FLOWMNG_vidDayCtMng_Calc1|B|();|FCT3.6|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui appelle les deux macro de calcule de nombre de jours et d'années|
FLOWMNG_vidDayCtMng_Calc2|C|();|FCT4.5|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction of day Contrôle Management Calculation|
FLOWMNG_vidDayCtMng_EEPROM|E|();|FCT5.1|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction sauvegardant la valeur du compteur secondes, jours et années au powerlatch|
FLOWMNG_vidDstVeh|B|();|FCT6.5|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Cette fonction permet de d'affecter le kilometrage selon la valeur de Ext_bArchiCf.|
FLOWMNG_vidEntryInit|A|();|SCH1.1|FLOWMNG|1|PTS_DOC_5068508||||0|0|0|0|Evénement reset ECU du module FLOWMNG|
FLOWMNG_vidFirst_DayCtMng|B|();|FCT3.5|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui fais incrémenter le compteur temporel à chaque récepton de la trame 552.|
FLOWMNG_vidFirstCases|B|();|FCT2.8|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|First cases of Position Gear Level|
FLOWMNG_vidFirstDayCtMngInit|B|();|FCT2.6|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction d'initialisation de la variable FlowMng_bFirstDayCtMng.|
FLOWMNG_vidGMV|B|();|FCT2.7|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui détermine la vitesse predite ou recommandée du ventilateur en fonction de la configuration de MDF.|
FLOWMNG_vidHorsDiagBVH2P_ABS|B|();|FCT2.3|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Cette fonction met à jour l'etat du frein primaire.|
FLOWMNG_vidInit_EEPROM|B|();|FCT3.4|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction d'initialisation des variables memoire à chaque connexion/deconnexion|
FLOWMNG_vidInit_InitUpDate|D|();|FCT3.8|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonctions d'initialisation des compteurs avant mise à jour|
FLOWMNG_vidInit_UpDate|E|();|FCT4.6|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui initialise le compteur du dixième de seconde d'arrêt moteur.|
FLOWMNG_vidInitOutput|D|();|FCT1.1|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction d'initialisation des variables produites par la spec.|
FLOWMNG_vidLoFuPmp|B|();|FCT6.8|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui gère la commande de la pompe à essence.|
FLOWMNG_vidOil|C|();|FCT1.7|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Function OIL|
FLOWMNG_vidOutput_GBxLev1|B|();|FCT6.2|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction de selection de la position levier lorsque Ext_stGBxCf = 1|
FLOWMNG_vidOutput_GBxLev2|B|();|FCT6.3|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction de selection de la position levier lorsque Ext_stGBxCf = 0.|
FLOWMNG_vidOutput_posnGBxLev|B|();|FCT6.1|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction de selection de la position levier.|
FLOWMNG_vidPMastervac|C|();|FCT1.3|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Ce bloc permet le calcul des variables Ext_pRelBrkAsi et Ext_pBrkAsi|
FLOWMNG_vidPosGearLev|C|();|FCT1.8|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui gère le niveau delevier de vitesse.|
FLOWMNG_vidPosGearSel|C|();|FCT1.5|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui gère le flux relativement à la position du levier du vitessse et la position du PN|
FLOWMNG_vidPosGearTempo|C|();|FCT1.6|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction de gestion du flux relativement à la position du levier de vitesse et celle du PN avec temporisation.|
FLOWMNG_vidSec_InitUpDate|G|();|FCT3.9|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction d'initialisation du compteur des secondes|
FLOWMNG_vidSec_UpDate|F|();|FCT4.7|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui let a jour le compteur des dix première millisecondes après arrêt moteur|
FLOWMNG_vidTemporisation|B|();|FCT6.4|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction de temporisation de la position levier.|
FLOWMNG_vidTExtMng|E|();|FCT3.2|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui calcule les température air extérieures traitée et venant du CAN|
FLOWMNG_vidTOilMng|E|();|FCT3.3|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Si le flux Eng_tOilEstim est produit par une fonction d'estimation alors Ext_tOil est égal  Eng_tOilEstim|
FLOWMNG_vidTqSel|C|();|FCT5.2|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui specifie la selection du flux pour le torque C2000|
FLOWMNG_vidUpDate2004|D|();|FCT4.10|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Foncton de mise à jour du compteur Ext_tiCurVeh2004|
FLOWMNG_vidYr_InitUpDate|D|();|FCT4.2|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction initilaisation compteur année|
FLOWMNG_vidYr_UpDate|D|();|FCT4.9|FLOWMNG|0|PTS_DOC_5068508||||0|0|0|0|Fonction qui met à jour les compteurs jour et année.|
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|1|HEADER|1|NONE||||0|0|0|0||
