Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0|ErrorHook routine|
VLVACTINACTRTEST_vidPhase8Trans|B|();|FCT3.3|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|calcule de l'etat INVLVACT_ACTRTST_PHASE8|
VLVACTINACTRTEST_vidPhase9Trans|B|();|FCT3.4|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|calcule de l'etat INVLVACT_ACTRTST_PHASE9|
VLVACTINACTRTEST_vidSetpointComp|C|();|FCT2.4|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|Ce bloc génère le profil de consigne envoyé lors du test actionneur de la VVT admission.|
VLVACTINACTRTEST_vidSetpointCrit|B|();|FCT1.10|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|on calcule du temps nécessaire pour atteindre la valeur finale .(Pour la consigne  )|
VLVACTINACTRTEST_vidSpdErrInCalc|C|();|FCT2.3|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|Dans ce bloc sont calculées les indicateurs d’erreurs de vitesse sur les différentes rampes de  la consigne  envoyée lors du test actionneur de la VVT admission.|
VLVACTINACTRTEST_vidSpeedErrorCo|B|();|FCT1.8|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|Pour les phases stabilisées du profil, on calcule l’erreur statique.|
VLVACTINACTRTEST_vidSpeedErrorMe|B|();|FCT2.2|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|Dans ce bloc sont calculées les différents coefficients intervenant dans le calcul du seuil utilisé pour le calcul de  l’erreur de vitesse.|
VLVACTINACTRTEST_vidStatErrorCom|B|();|FCT1.4|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|Dans ce bloc sont calculées les erreurs statiques.|
VLVACTINACTRTEST_vidStatErrorMea|C|();|FCT1.6|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|Dans ce bloc sont calculées pour chaque phases stabilisées du profil de consigne envoyé lors du test  actionneur de la VVT admission, les indices de temps utilisés dans le calcul de l’erreur statique moyenne.|
VLVACTINACTRTEST_vidStErrCritClc|C|();|FCT1.7|VLVACTINACTRTEST|0|V02 NT 09 05822||||0|0|0|0|Dans ce bloc sont calculées les indicateurs d’erreurs statiques sur les différentes portions stabilisées de  la  consigne envoyée lors du test actionneur de la VVT admission.|
