Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|5|HEADER|1|NONE||||0|0|0|0||
HOTSENO2FLG_vidDetSenO2UsCold|B|();|FCT2.2|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Si le mélange oscille entre riche et pauvre, la tension va bagotter. La tension devra se trouver en dehors d’un intervalle de tensions pour que la sonde puisse être déclarée chaude.|
HOTSENO2FLG_vidDetSenO2UsHot|B|();|FCT2.1|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Le signal utilisé est le signal sonde filtré afin d’éviter de fausses détections de sonde chaude dues à des perturbations des signaux bruts|
HOTSENO2FLG_vidDsHotdiagFlgInit|A|();|FCT1.3|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|A l’initialisation du calculateur la sonde aval est déclarée froide : LsSys_bLsDsHeatOkDiag et LsSys_bLsDsHeatOk valent 0.|
HOTSENO2FLG_vidDsTiStHeatOkdiag|A|();|FCT3.4|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|La sonde est considérée chaude et prête pour le diagnostic lorsque LsSys_b[XXXX]HeatOkDiag==1|
HOTSENO2FLG_vidHotSenO2Fil|B|();|FCT1.9|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|filtrage de Tension_sonde_amont  (Tension_sonde_aval) pour créer Lshd_voltage_upstr_sens_filtered (Lshd_voltage_dnstr_sens_filtered)|
HOTSENO2FLG_vidHotSenO2Heatst|A|();|FCT2.6|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0| Les sondes sont considérées chaudes lorsqu'une durée calibrable s'est écoulée depuis que l'automate de chauffage est rentré en phase E en passant par les phases (C1 ou C2) ou D, ou lorsque l'on a quitté la phase A pour la phase E directement.|
HOTSENO2FLG_vidHotSenO2Volt|A|();|FCT1.8|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Fonction de calcul du filtrage de Tension_sonde_amont (Tension_sonde_aval)|
HOTSENO2FLG_vidInitCrTR|D|();|FCT1.5|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0| Lorsque la stratégie de détection des sondes chaudes est basée est la valeur des tensions sondes, les variables sont initialisées au démarrage du moteur.Les sondes sont déclarées froides.|
HOTSENO2FLG_vidInitEveRst|A|();|FCT1.1|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Selon la stratégie de détection sonde lambda chaude basée sur les états de chauffage, à l’initialisation du calculateur,les sondes amont et aval sont déclarées froides.|
HOTSENO2FLG_vidInitHotSenO2DsFlg|B|();|FCT1.7|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0| Lorsque la stratégie de détection de sonde aval chaude est basée sur la tension sonde et lorsque le moteur démarre,la sonde aval doit être déclarée froide et le compteur associé à la détection de sonde chaude  Lshd_dwn_lbda_sens_heat_delay.|
HOTSENO2FLG_vidInitHotSenO2UsFlg|B|();|FCT1.6|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Lorsque la stratégie de détection de sonde amont chaude est basée sur la tension sonde et lorsque le moteur démarre la sonde amont doit être déclarée froideet le compteur associé à la détection de sonde chaude doit être Lshd_up_lbda_sens_heat_delay.|
HOTSENO2FLG_vidInitOutput|D|();|FCT1.4|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Initialisation des variables internes et des sorties du module.|
HOTSENO2FLG_vidSenO2DsHot|A|();|FCT2.8|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|La détection de la sonde se basant sur les états de l’automate de chauffage estime qu’au bout d’une certaine durée la sonde est suffisamment chauffée|
HOTSENO2FLG_vidSenO2DsTiStHeat|D|();|FCT2.3|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|La détection de la sonde se basant sur les états de l’automate de chauffage estime qu’au bout d’une certaine durée la sonde est suffisamment chauffée|
HOTSENO2FLG_vidSenO2UsHot|A|();|FCT2.7|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|La sonde est considérée chaude  et prête pour le diagnostic losrque  LsSys_b[LsUsMainOxCHeatOkDiag==1|
HOTSENO2FLG_vidSenO2UsTiStHeat|C|();|FCT1.7|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|La détection de la sonde se basant sur les états de l’automate de chauffage estime qu’au bout d’une certaine durée la sonde est suffisamment chauffée.|
HOTSENO2FLG_vidUsHotdiagFlgInit|A|();|FCT1.2|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|.A l’initialisation du calculateur la sonde amont est déclarée froide,: LsSys_bLsUsHeatOkDiag et LsSys_bLsUsHeatOk valent 0.|
HOTSENO2FLG_vidUsTiStHeatOkdiag|A|();|FCT3.2|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|La sonde est considérée chaude  et prête pour le diagnostic losrque  LsSys_b[LsUsMainOxCHeatOkDiag==1|
