Référence_spécification|indice_spécification|intitulé|Validate|Remove
PTS_DOC_5076182|16|Spécification d’interface entre les modules projet EBx-DT et les chaînes génériques|0|0
PTS_DOC_5135152|01|RESERVE DE COUPLE MOTEUR|0|0
PTS_DOC_5135792|03|Injectors actuators tests|0|0
PTS_DOC_5137464|06|Gestionnaire du relais actionneurs|0|0
PTS_DOC_5139092|1|PWMHAL SOFTWARE COMPONENT DESIGN DOCUMENT
PTS_DOC_5139357|02|Fuel Transfer Pump Control (FTPCtl)|0|0
PTS_DOC_5139605|01|Calcul de la consigne d'air lors d'une régulation ASR|0|0
PTS_DOC_5139613|02|CONSOMMATION CARBURANT|0|0
PTS_DOC_5141019|01|ENGINE SPEED PREDICTION DURING THE ENGINE STOP|0|0
PTS_DOC_5145312|04|Détection palliative de cliquetis|0|0
PTS_DOC_5147156|04|SUPERVISEUR DE STRATEGIES LIEES A LA RICHESSE|0|0
PTS_DOC_5147287|03|Manager de gestion de la régulation de richesse|0|0
PTS_DOC_5147394|02|SAFETY TMS: interface avec LDA/LDB de la structure d'accueil|0|0
PTS_DOC_5147426|04|SAFETY TMS: Diagnostics des capteurs/Trames CAN pour le safety niveau 2|0|0
PTS_DOC_5147608|03|CORRECTION DE LA REGULATION DE RICHESSE EN BUTEE|0|0
PTS_DOC_5154831|03|CORRECTION AUTO-ADAPTATIVE DU CLIQUETIS|0|0
PTS_DOC_5158467|04|ALGORITHMES DE DETECTION DE MISFIRE|0|0
PTS_DOC_5198333|02|DIAGNOSTIC FONCTIONNEL DU DEBIT D’AIR D’ADMISSION|0|0
PTS_DOC_5198626|06|ALGORITHMES DE DETECTION DE MISFIRE EN IDLE|0|0
PTS_DOC_5198644|01|Algorithmes De Détection De 2 Misfires Successifs en IDLE|0|0
PTS_DOC_5198655|01|ALGORITHME DE DECISION POUR LA DETECTION MISFIRE|0|0
PTS_DOC_5198660|01|Algorithmes De Détection De 2 Misfires Successifs|0|0
PTS_DOC_5198884|03|DIAGNOSTIC FONCTIONNEL DE LA PRESSION DE SURALIMENTATION|0|0
PTS_DOC_5199248|1|HOD Software Component Design Document versions F1_x.x.x
PTS_DOC_5199315|01|spécification d’interface pour la fonction stt|0|0
PTS_DOC_5199347|01|ESTIMATION OF MANUAL GEARBOX LOSSES|0|0
PTS_DOC_5199559|01|SAFETY MANAGER|0|0
PTS_DOC_5199597|01|SAFETY TMS : STT Chaine de Traction|0|0
PTS_DOC_5199971|07|Interface de la chaine d’air|0|0
PTS_DOC_5205503|03|BORNAGE DYNAMIQUE DE DEBIT PURGE|0|0
PTS_DOC_5206188|02|TRAITEMENT DES INFORMATIONS BSI POUR LES BESOINS DE LA XVV|0|0
PTS_DOC_5206415|1|DIOHAL Software Component Design Document Versions F1_X.X.X
PTS_DOC_5211932|01|GESTION CHAUFFAGE SONDE AMONT|0|0
PTS_DOC_5215083|03|Controle De La Boucle Fermee De La Regulation De Richesse Avec Sonde Amont|0|0
PTS_DOC_5257921|01|Ignition Coil IGBT temperature acquisition|0|0
PTS_DOC_5263162|02|GESTION DES READINESS CODES 01|0|0
PTS_DOC_5304544|05|GESTION DES DIVERSITES|1|0
PTS_DOC_5307525|01|Diagnostic du capteur cliquetis|0|0
PTS_DOC_5320145|03|INTERFACE D’ADAPTATION DES CONSIGNE ET MESURE AAC POUR LA FONCTION VVT ECHAPPEMENT|0|0
PTS_DOC_5320155|03|Interface d’adaptation des consigne et mesure AAC pour la fonction VVT admission|0|0
PTS_DOC_5329313|02|DUREE D’ARRET MOTEUR|0|0
PTS_DOC_5338298|01|CALCUL DES RATIOS IUPR|0|0
PTS_DOC_5377698|03|FUEL DESORPTION FROM OIL|0|0
PTS_DOC_5395989||DGOHAL Software Component Design Document	Versions F1_X.X.X
PTS_DOC_5402500|01|Safety TMS : Interface Défaut Safety Manager|0|0
PTS_DOC_5404370|02|ETAT VEHICULE|0|0
PTS_DOC_5421274|01|Gestion chauffage sonde aval|0|0
PTS_DOC_5444560|01|Single Failure Manager|0|0
PTS_DOC_5446103|01| Status Of DTC|0|0
PTS_DOC_5447179|02|MEMORISATION DES PARAMETRES DEFAUTS|0|0
PTS_DOC_5447356|01|Gestionnaire du Journal Des Défauts|0|0
PTS_DOC_5447643|03|GD ARCHITECTURE|0|0
PTS_DOC_5447824|01|Function Recovery Manager|0|0
PTS_DOC_5447829|01|FRM External Interface|0|0
PTS_DOC_5455394|01|ACQUISITION DE LA VITESSE VEHICULE FILAIRE|0|0
PTS_DOC_5462804|01|Gestion du niveau carburant|0|0
PTS_DOC_5482727|02|DIAGNOSTIC FONCTIONNEL SONDE AMONT|0|0
PTS_DOC_5489080|01|ETAT MOTEUR TOURNANT|0|0
PTS_DOC_5497341|01|Calcul du dénominateur général de l’iupr.|0|0
PTS_DOC_5577717|02|CONDITIONS DE STABILITE POUR DIAGNOSTIC MISFIRE|0|0
PTS_DOC_5621841|01|WASTE GATE ACTUATOR TEST|0|0
PTS_DOC_5659858|01|Régulateur de régime ralenti|0|0
PTS_DOC_5660023|01|Gestionnaire séquence d’arrêt STT|0|0
PTS_DOC_5664717|01|Calculation of a secured speed for the STT function|0|0
PTS_DOC_5700651|01|FILTRE A MOYENNE GLISSANTE GENERIQUE|0|0
PTS_DOC_5708641|01|SPECIFICATION D’INTERFACE MESSAGERIE CAN POUR GESTION DES TRAMES MIXTES|0|0
PTS_DOC_5711967|01|Diagnostics Realisés par le driver  Watchdog|0|0
PTS_DOC_5795522|01|MODELE D'ESTIMATION DU COUPLE MAX|0|0
PTS_DOC_5883893|01|CALCUL DES BUTEES POUR LE DECALEUR D’ARBRE A CAMES D’ADMISSION|0|0
PTS_DOC_5885665|01|CALCUL DES BUTEES POUR LE DECALEUR D’ARBRE A CAMES D’ECHAPPEMENT|0|0
PTS_DOC_6095099|03|CALCUL DE LA CONSIGNE DE POSITION PAPILLON MOTORISE|0|0
PTS_DOC_6307798|01|IMPLEMENTATION FRT (Spécificité EB_DT 240MHz)|0|0
PTS_DOC_6444206|01|VOLTAGE BOOST REQUEST FOR IGNITION SYSTEM|0|0
PTS_DOC_6509293|01|Acquisition de la pédale d’embrayage|0|0
PTS_DOC_6509298|04|SPECIFICATION DES COMMANDES ET ACQUISITIONS LOGIQUES|0|0
PTS_DOC_6525148|01|Pilotage Autorisation de redémarrage STT|0|0
PTS_DOC_6525158|01|ACQUISITION DE LA PRESSION COLLECTEUR|0|0
PTS_DOC_6525166|01|ATMOSPHERIC PRESSURE ACQUISITION|0|0
PTS_DOC_6525171|01|ACQUISITION DE LA MESURE DU CAPTEUR DE DEPRESSION MASTERVAC|0|0
PTS_DOC_6525894|01|Pilotage demande maintient DMTR (Dispositif de maintient en tension Réseau)|0|0
PTS_DOC_6526884|01|ACQUISITION DE LA PEDALE DE FREIN|0|0
PTS_DOC_6528229|01|SORTIE FILAIRE MOTEUR TOURNANT|0|0
PTS_DOC_6528767|01|COMMANDE ET DIAGNOSTIC DE LA SORTIE LOGIQUE DML|0|0
PTS_DOC_6529336|01|Information Etat BICD|0|0
PTS_DOC_6529851|01|Acquisition de la temperature d’eau|0|0
PTS_DOC_6530087|01|ACQUISITION DE L’INFORMATION START LOCK BV|0|0
PTS_DOC_6533527|01|ACQUISITION DE LA POSITION POINT MORT|0|0
PTS_DOC_6535285|01|Mesure de la Température d’Air|0|0
PTS_DOC_6538484|01|Acquisition tension alimentation capteurs|0|0
PTS_DOC_6539920|01|Diagnostic fonctionnel de la pression collecteur|0|0
PTS_DOC_6543971|01|BASIC SOFTWARE PROCESSING REQUIREMENTS FOR KEY PUSH INFORMATION|0|0
PTS_DOC_6545428|01|Acquisition de la pression du fluide réfrigérant
PTS_DOC_6545446|01|COMMANDE ET DIAGNOSTIC DE LA SORTIE LOGIQUE SONDE A OXYGENE AVAL|0|0
PTS_DOC_6547150|01|ACQUISITION DE LA TENSION BATTERIE|0|0
PTS_DOC_6547160|01|Relative Mastervac Pressure Acquisition|0|0
PTS_DOC_6559003|01|COMMANDE ET DIAGNOSTIC DE LA SORTIE LOGIQUE SONDE A OXYGENE AMONT|0|0
PTS_DOC_6559340|01|COMMANDE ET DIAGNOSTIC DU RELAIS PRINCIPAL|0|0
PTS_DOC_6561228|01|COMMANDE ET DIAGNOSTIC DE LA SORTIE LOGIQUE ACTIONNEURS|0|0
PTS_DOC_6562175|01|Acquisition de la mesure du capteur d’embrayage proportionnel|0|0
PTS_DOC_6562300|01|PROPORTIONAL FUEL PUMP COMMAND AND DIAGNOSIS|0|0
PTS_DOC_6562315|01|ACQUISITION DE LA SONDE A OXYGENE AMONT|0|0
PTS_DOC_6562479|01|COMMANDE DE L’ÉLECTROVANNE PURGE CANISTER|0|0
PTS_DOC_6563540|01|ACQUISITION DE L’INFORMATION PRESSION HUILE MOTEUR|0|0
PTS_DOC_6563717|01|BlowBy COMMAND AND DIAGNOSIS|0|0
PTS_DOC_6563982|01|ACQUISITION DE LA SONDE A OXYGENE AVAL|0|0
PTS_DOC_6587801|01|COMMANDE ET DIAGNOSTICS DU DRIVER DU PAPILLON MOTORISE|0|0
PTS_DOC_6588622|01|Driver de la commande VVT échappement|0|0
PTS_DOC_6588648|01|ACQUISITION DU DECALAGE ET CALCUL DE LA VITESSE DE DECALAGE DE LA VVT D'ECHAPPEMENT|0|0
PTS_DOC_6588653|01|ACQUISITION DU DECALAGE ET CALCUL DE LA VITESSE DE DECALAGE DE LA VVT D'ADMISSION|0|0
PTS_DOC_6588664|01|Driver de la commande VVT admission|0|0
PTS_DOC_6601121|02|Acquisition de la position pedale|0|0
PTS_DOC_6606841|01|IMPLEMENTATION DU TRAITEMENT DU CONTACTEUR ELECTRIQUE LVV|0|0
PTS_DOC_6642215|05|ECU ELECTRICAL STATE|0|0
PTS_DOC_6658623|01|Mesure de la position papillon|0|0
PTS_DOC_6668934|02|Commande et Diagnostic des Bobines d’Allumage|0|0
PTS_DOC_6669203|03|Spécification des acquisitions analogiques (AdcHal)|0|0
PTS_DOC_6669624|02|Spécification des acquisitions des états et résultats des diagnostics|0|0
PTS_DOC_6669891|02|SPECIFICATION DES COMMANDES EN PWM  ENVOYEES AU BSW|0|0
PTS_DOC_6717056|02|Spécification des acquisitions rco (PwdHal)|0|0
PTS_DOC_6719446|01|DIAGNOSTIC DES BOBINES D’ALLUMAGE|0|0
PTS_DOC_6722439|01|COMMANDE ET DIAGNOSTICS DES GMV|0|0
PTS_DOC_6765172|01|Generation of information related to RCD|0|0
PTS_DOC_6832731|02|GESTION DES PHASES DE VIE DE LA COMMUNICATION|0|0
PTS_DOC_6851368|01|CTP additional heaters command and diagnosis|0|0
PTS_DOC_6851381|01|Acquisition de la pression de suralimentation|0|0
PTS_DOC_6851391|01|PFuAcq: FUEL RAIL PRESSURE ACQUISITION (GDI)|0|0
PTS_DOC_6851405|01|ECU Temperature Acquisition|0|0
PTS_DOC_6851410|01|OIL PUMP SOLENOID VALVE COMMAND AND DIAGNOSIS|0|0
PTS_DOC_6851415|01|WASTEGATE COMMAND AND DIAGNOSIS|0|0
PTS_DOC_6851423|01|DUMP-VALVE COMMAND AND DIAGNOSIS|0|0
PTS_DOC_6851428|01|WATER PUMP COMMAND AND DIAGNOSIS|0|0
PTS_DOC_6854092|01|Acquisition of Diagnoses States and results for specific components|0|0
PTS_DOC_6872932|01|OIL LEVEL ACQUISITION|0|0
PTS_DOC_6873713|01|OILLVHAL acquisition|0|0
PTS_DOC_6873723|01|IMPLÉMENTATION DU MODE INTEGRATION ELECTRONIQUE|0|0
PTS_DOC_6882935|01|PMPHAL acquisition|0|0
PTS_DOC_6882952|01|COMMAND AND DIAGNOSIS OF HIGH PRESSURE PUMP|0|0
PTS_DOC_6884534|01|Statut et diagnostic du signal arbre à cames admission|0|0
PTS_DOC_6884540|01|Statut et diagnostic du signal arbre à cames echappement
PTS_DOC_6884549|01|Acquisition de la commande de réveil (RCD)|0|0
PTS_DOC_6884590|01|INTERFACE GESTION ROUE DENTEE VILEBREQUIN|0|0
PTS_DOC_6886036|01|Statut et diagnostic du signal vilebrequin|0|0
PTS_DOC_6886129|01|Electronically Controlled Thermostat command and diagnosis|0|0
PTS_DOC_6886136|01|INTERFACE COMMANDE INJECTEURS ESSENCE|0|0
PTS_DOC_6912870|01|Détermination de la synchronisation et position du moteur|0|0
PTS_DOC_6913248|01|SPECIFICATION OF PWM COMMANDS SENT TO BSW|0|0
PTS_DOC_6913275|01| SPECIFICATION OF LOGICAL COMMANDS (DIOHAL) SENT TO BSW|0|0
PTS_DOC_6913284|01|SPECIFICATION OF ANALOG  ACQUISITIONS (ADCHAL)|0|0
PTS_DOC_6913684|01|Acquisition of Diagnoses States and results for injectors|0|0
PTS_DOC_6930924|01|diagnostic de l’asic gdi|0|0
PTS_DOC_6944973|02|Layer de la fonction Synchro|0|0
PTS_DOC_6977224|01|Diagnostics du signal vilebrequin|0|0
PTS_DOC_6978050|01|OIL PROPORTIONAL PRESSURE ACQUISITION AND DIAGNOSIS|0|0
PTS_DOC_7293537|01|Calcul de la position pédale relative|0|0
PTS_DOC_7317422|01|Security modes management for the gas pedal|0|0
V01 NT 06 05217|2|HBHAL External Architecture
V01 NT 08 05204|2|adchal external architecture
V02 NT 07 01322|08|gestion de la pompe a essence|0|0
V02 NT 08 03740|08|Calcul de la position pédale relative à partir des positions pied à fond et pied levé|0|0
V02 NT 08 03749|4|APPRENTISSAGE DES POSITIONS PIED LEVE ET PIED A FOND DE LA PEDALE D’ACCELERATEUR|0|0
V02 NT 08 03781|05|formatage de la volonté conducteur|0|0
V02 NT 08 04191|4|conditions d'un démarrage à froid|0|0
V02 NT 08 04489|2|BOOST DE LA CONSIGNE DE POSITION PAPILLON MOTORISE
V02 NT 08 04493|06|calcul de la consigne de position papillon absolue|0|0
V02 NT 08 04513|05|Détection de micro-coupures CMM/BPM et mode palliatif
V02 NT 08 04514|05|ASSERVISSEMENT PAR RETOUR D’ETAT DE LA POSITION DU PAPILLON MOTORISE|0|0
V02 NT 08 04528|16|Gestion de l’asservissement du papillon motorise|0|0
V02 NT 08 04529|06|MODE BANC AUTOMATIQUE PAPILLON MOTORISE|0|0
V02 NT 08 04530|5|diagnostic de l'asservissement de la position du papillon motorise|0|0
V02 NT 08 04650|03|CALCUL DES COEFFICIENTS DE CORRECTION LIES A LA FISA
V02 NT 08 04680|04|diagnostic switch embrayage|0|0
V02 NT 08 04793|08|COMMANDE EN BOUCLE OUVERTE DU PAPILLON|0|0
V02 NT 08 04799|10|CALCUL DES BUTEES DU PAPILLON|0|0
V02 NT 08 04908|2|detection de demande de denoyage|0|0
V02 NT 08 05110|02|DÉTECTION DE ZONE CRITIQUE|0|0
V02 NT 08 05135|04|gestion des modes de securite du papillon motorise
V02 NT 08 05172|03|Calcul de la position papillon corrigée|0|0
V02 NT 08 05182|14|démarrage et arrêt moteur|0|0
V02 NT 08 05345|06|Calcul du bruit instantane pour la strategie de detection de cliquetis|0|0
V02 NT 08 05347|03|gestion des consignes de couple|0|0
V02 NT 08 05510|08|CALCUL DE L’OBJECTIF GLOBAL (AVEC SONDE ON/OFF)|0|0
V02 NT 08 05607|07|ACQUISITION VITESSE VEHICULE VIA CAN|0|0
V02 NT 08 05610|09|Gestion de la vitesse véhicule|0|0
V02 NT 08 05725|06|ADAPTATION DU BRUIT MOTEUR MOYEN POUR LA STRATEGIE DE DETECTION CLIQUETIS|0|0
V02 NT 08 05886|09|Régulation de richesse par la sonde à oxygène aval (Double Boucle)|0|0
V02 NT 08 05997|02|GENERATION DU DIAG ON
V02 NT 08 06151|08|protection thermique de la ligne d’echappement|0|0
V02 NT 08 06204|07|DETERMINATION DES SONDES LAMBDA CHAUDES|0|0
V02 NT 08 07048|01|Diagnostics de Test du GDU
V02 NT 08 07174|10|MANAGER DE LA FONCTION VVT ADMISSION|0|0
V02 NT 08 07294|03|correction palliative de cliquetis
V02 NT 08 07305|03|ESTIMATION DU VIEILLISSEMENT CATALYSEUR|0|0
V02 NT 08 07467|04|Détection de remplissage carburant pour la fonction FISA
V02 NT 08 07560|02|générateur de sbpa|0|0
V02 NT 08 07804|02|LIMITATION DE COUPLE POUR LA SECURITE DE FONCTIONNEMENT|0|0
V02 NT 08 07819|10|MANAGER DE LA FONCTION VVT ECHAPPEMENT|0|0
V02 NT 08 07842|03|traitement information crash véhicule|0|0
V02 NT 08 08131|03|TEST ACTIONNEUR  SONDE O2 AMONT|0|0
V02 NT 08 08234|13|NETTOYAGE DE L’ELECTROVANNE DE LA VVT ADMISSION|0|0
V02 NT 08 08235|12|NETTOYAGE DE L’ELECTROVANNE DE LA VVT ECHAPPEMENT|0|0
V02 NT 09 00158|01|inhibitions et reconfigurations relatives à  la fonction d’adaptation de l’injection au démarrage (fisa)
V02 NT 09 00486|04|MODE BANC POUR LA CALIBRATION DE LA STRATEGIE DE DETECTION DE CLIQUETIS
V02 NT 09 00741|04|TESTS ACTIONNEURS DES BOBINES|0|0
V02 NT 09 00762|02|Génération de l'état d'apprentissage des défauts Misfire|0|0
V02 NT 09 00774|04|TESTS ACTIONNEURS DES GMV
V02 NT 09 00776|03|correction des fenêtres d’acquisition par un adaptatif
V02 NT 09 00783|04|TEST ACTIONNEUR PAPILLON MOTORISÉ|0|0
V02 NT 09 00859|04|Diagnostic fonctionnel de la température d’eau|0|0
V02 NT 09 00872|04|TEST ACTIONNEUR DU RELAIS DE PUISSANCE|0|0
V02 NT 09 00924|03|test actionneur de purge canister
V02 NT 09 01049|03|TEST ACTIONNEUR  SONDE O2 AVAL|0|0
V02 NT 09 01180|04|Diagnostic fonctionnel de l’information marche arrière : détection du défaut et info MA
V02 NT 09 01550|05|Diagnostic fonctionnel pedale accelerateur bloquée|0|0
V02 NT 09 01664|03|DIAGNOSTIC FONCTIONNEL DE LA VITESSE VEHICULE|0|0
V02 NT 09 01756|06|estimation du decalage aac d’admission|0|0
V02 NT 09 01759|02|DEGRADATION DE RENDEMENT AU RALENTI POUR LA PURGE|0|0
V02 NT 09 01858|04|calcul de la consigne d’ouverture de la purge|0|0
V02 NT 09 01896|03|detection de la mauvaise route en fonction de la vitesse des roues
V02 NT 09 02030|01|Régulation De Richesse En Butée
V02 NT 09 02295|01|GESTION DE LA PHASE DE DÉCOLLAGE DANS LE BUT D’INHIBER L’ADAPTATION D’AVANCE|0|0
V02 NT 09 02692|02|DETECTION DE LA MAUVAISE ROUTE|0|0
V02 NT 09 02851|06|ESTIMATION DU DECALAGE AAC D’ECHAPPEMENT|0|0
V02 NT 09 03043|09|Inter-Système LIN|0|0
V02 NT 09 03216|02|engine stabilised
V02 NT 09 03285|1|manager eeprom|0|0
V02 NT 09 03299|02|gestion de la synchronisation moteur|0|0
V02 NT 09 03344|01|description of crc component on ebx-v46
V02 NT 09 03395|1|GESTIONNAIRE DES RECONFIGURATIONS NON CALIBRABLES
V02 NT 09 03939|1|description of rnd component on ebx-v46
V02 NT 09 04105|02|VALIDITE DES INFORMATIONS COUPLE|0|0
V02 NT 09 04172|03|cohérence de synchronisation des régimes arbres à cames et vilebrequin|0|0
V02 NT 09 04208|06|SURVEILLANCE DES SIGNAUX ARBRE A CAMES ET VILEBREQUIN|0|0
V02 NT 09 04308|07|commande du chauffage sonde o2 on/off amont|0|0
V02 NT 09 04622|01|automate de detection des transitoires de charge|0|0
V02 NT 09 04644|2|configuration du lin|0|0
V02 NT 09 04714|03|diagnostic fonctionnel du capteur de dépression mastervac|0|0
V02 NT 09 04727|05|commande du chauffage sonde o2 on/off aval|0|0
V02 NT 09 04922|04|calcul de l’avance a l’allumage sous demarreur|0|0
V02 NT 09 05081|02|acquisition des fenetres misfire|0|0
V02 NT 09 05149|02|librairie : contrôle trame critique|0|0
V02 NT 09 05822|08|Test actionneur de la vvt admission :génération de la consigne et calcul des critères de l’asservissement|0|0
V02 NT 09 05825|08|Test actionneur de la vvt échappement :génération de la consigne et calcul des criteres de l’asservissement|0|0
V02 NT 09 05959|04|DEFINITION VARIABLES STT|0|0
V02 NT 09 05960|08|ERH|0|0
V02 NT 09 06148|06|Générateur De Ratés D'allumage|0|0
V02 NT 09 06150|03|TEST BED MODE FOR THE UPSTREAM OXYGEN SENSOR VOLTAGE|0|0
V02 NT 09 06381|05|DIAGNOSTIC FONCTIONNEL DE LA VVT ADMISSION|1|0
V02 NT 09 06456|05|CALCUL DU REGIME RECENTRE|0|0
V02 NT 09 06481|06|DIAGNOSTIC FONCTIONNEL DE LA VVT ÉCHAPPEMENT|0|0
V02 NT 09 07770|01|intake variable valve timing setpoint in bench mode|0|0
V02 NT 09 07775|02|arbitrage des avances à appliquer|0|0
V02 NT 09 07776|02|calcul de la consigne de position papillon motorise en mode banc moteur|0|0
V02 NT 09 08176|1|torque setpoint calculation in bench mode
V02 NT 09 08184|03|wastegate solenoid valve open loop command setpoint in bench mode|0|0
V02 NT 09 08194|2|boost pressure setpoint calculation|0|0
V02 NT 09 08224|01|exhaust variable valve timing setpoint in bench mode|0|0
V02 NT 09 08266|02|throttle full range position|0|0
V02 NT 10 00381|02|diagnostic de l’echauffement thermique du boitier papillon|0|0
V02 NT 10 01230|04|VALIDER COUPLE CONDUCTEUR|0|0
V02 NT 10 01231|01|Safety TMS : Coordonner les Couples.|0|0
V02 NT 10 01233|03|Safety TMS : Valider Pertes Globales|0|0
V02 NT 10 01236|05|SAFETY TMS : AGREMENT PREVENTIF|0|0
V02 NT 10 01238|03|Safety TMS : Estimer Couple Réel|0|0
V02 NT 10 01242|02|valider regulation ralenti|0|0
V02 NT 10 01251|03|sécuriser boites|0|0
V02 NT 10 01258|01|CONSTRUCTION FREEZE FRAME|0|0
V02 NT 10 01261|01|Safety TMS : Sécuriser Limp Home|0|0
V02 NT 10 01292|2|dump valve open loop command setpoint
V02 NT 10 02290|01|Superviseur de la fonction de synchronisation|0|0
V02 NT 10 02508|04|SPY STT|0|0
V02 NT 10 02549|02|Sélection de variables durant l’arrêt moteur(PredEsChg)|0|0
V02 NT 10 02580|04|ENGINE INSTANTANEOUS NOISE ESTIMATION (RUMBLE)|0|0
V02 NT 10 02582|4|ADAPTATION OF THE AVERAGE ENGINE NOISE|0|0
V02 NT 10 02593|03|diagnostic de la pédale de frein hors bvh2prime|0|0
V02 NT 10 02615|04|diagnostic bvh2’ sur l’information frein filaire|0|0
V02 NT 10 02950|05|wastegate command arbitration|0|0
V02 NT 10 02966|01|diagnostic des mémoires flash et eeprom du calculateur|0|0
V02 NT 10 03258|01|fonction assistance de freinage|0|0
V02 NT 10 03267|03|Coordination des limitations CME|0|0
V02 NT 10 04612|02|gestion coupure - reinjection agrement|0|0
V02 NT 10 04614|02|INTERFACE RALENTI MOTEUR ESSENCE|0|0
V02 NT 10 04661|03|gestionnaire de la lampe défaut|0|0
V02 NT 10 04662|01|driving cycle|0|0
V02 NT 10 04974|02|Anti-calage BVM|0|0
V02 NT 10 04975|01|Réserve de couple rampage BVMP|0|0
V02 NT 10 04980|02|Réserve de couple climatisation|0|0
V02 NT 10 04984|01|Réserve de couple décollage|0|0
V02 NT 10 04991|01|Réserve de couple direction assistée|0|0
V02 NT 10 05001|02|RESERVE DE COUPLE GMV|0|0
V02 NT 10 05003|01|Réserve de couple GEP|0|0
V02 NT 10 05852|02|Espionner le SEEM STT : SpyEmSTTT|0|0
V02 NT 10 06088|01|synthese des besoins enrichissement perfo gmp|0|0
V02 NT 10 06202|01|Pre-consolidation modules for IUPR Ratios|0|0
V02 NT 10 07791|02|calcul du rendement pour la transformation couple / masse d’air|0|0
V02 NT 10 07792|03|Interfaçage Boucle Air / Structure Couple|0|0
V02 NT 10 08533|02|Consigne de Ralenti Statique|0|0
V02 NT 10 08543|01|RESERVE DE COUPLE BVA|0|0
V02 NT 10 08577|02|Réserve de couple chauffe catalyseur|0|0
V02 NT 10 08588|02|Consigne de régime de ralenti spécifique aux modes de combustion essence|0|0
V02 NT 10 08914|04|Gestionnaire du Journal Des Défauts|0|0
V02 NT 11 00293|02|Failures Buffer for development tool|0|0
