Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
AirPres_EveCrTSt_InMnfPresDiag|E|();|SCH.3|INMNFPRESDIAG|1|PTS_DOC_6539920||||0|0|0|0|Evènement d'arrêt moteur
INMNFPRESDIAG_vidDiagAuthFulLoad|D|();|FCT2.7|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Gestion de l'autorisation du diagnostic de la pression collecteur en pleine charge.
INMNFPRESDIAG_vidDiagFctStab|F|();|FCT2.3|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic revient à vérifier que la pression collecteur est comprise entre un seuil min et un seuil max lorsque la position papillon est comprise entre un seuil min et un seuil max depuis un certain temps.
INMNFPRESDIAG_vidInitOutput|G|();|FCT1.1|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Fonction d'initialisation des variables internes.
INMNFPRESDIAG_vidMfPrDiagBfStart|G|();|FCT1.4|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Gestion du diagnostic de la pression collecteur avant démarrage.
INMNFPRESDIAG_vidMfPrDiagDrStart|E|();|FCT1.7|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Gestion du diagnostic de la pression collecteur pendant le démarrage.
INMNFPRESDIAG_vidMnfPresDiagAuth|F|();|FCT2.2|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Gestion de l'autorisation du diagnostic de la pression collecteur.
INMNFPRESDIAG_vidMnfPresDiagGrd|D|();|FCT2.9|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic du gradient de la pression collecteur est activé seulement si : -  Le diagnostic n’est pas inhibé,  -  La vanne canister est fermée depuis suffisamment longtemps.
INMNFPRESDIAG_vidMnfPresDiagInit|D|();|FCT1.2|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|A l’initialisation du calculateur, le booléen lié à la durée de la fermeture de la vanne canister est mis à 0, et le compteur pour le diagnostic de cohérence de la pression collecteur pendant le démarrage doit être réinitialisé.
INMNFPRESDIAG_vidMnfPresDiagLim|E|();|FCT2.5|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic « hors zone » de la pression collecteur est activé seulement si :   -  Le diagnostic n’est pas inhibé,  -  La vanne canister est fermée depuis suffisamment longtemps.
INMNFPRESDIAG_vidMngActivStart|B|();|FCT4.3|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|A l’initialisation, toutes les variables sont mises à zéro.   Les pressions admission et atmo sont mises à jour dès le premier réveil principal (AirPres_bAuthUpdPres=1)
INMNFPRESDIAG_vidNoAirPressSens|E|();|FCT3.9|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic de la pression collecteur en pleine charge revient à vérifier que la pression collecteur se trouve  bien dans une plage de valeur de pression.
INMNFPRESDIAG_vidNoAirPressSens1|C|();|FCT3.7|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic revient à comparer la pression admission à deux valeurs réalistes de pression atmosphérique (valeurs mini et maxi majorées).
INMNFPRESDIAG_vidPrsDiagStallIni|D|();|FCT3.5|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|le seuil minimale de pression du capteur de pression au démarrage.
INMNFPRESDIAG_vidRefPressFreeze|D|();|FCT3.2|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Figeage de la valeur de référence de la pression collecteur qui sera utilisée par la suite pour la comparaison  avec la pression « courante n point de mesures plus tard ».
INMNFPRESDIAG_vidThrCohAuth|F|();|FCT4.1|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|On définit ici les conditions d’activation du diagnostic de cohérence de pression d’admission avec la position d’ouverture papillon.
INMNFPRESDIAG_vidThrCohDiag|F|();|FCT4.2|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|On effectue ici la comparaison entre la position papillon mesurée et une position théorique recalculée à partir du rapport de pression amont et aval papillon.
INMNFPRESDIAG_vidUpdtMnfPresCrnk|F|();|FCT1.8|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Pendant  le délai durant  le démarrage,  la  stratégie  vient mémoriser  la  valeur de  la pression  collecteur  la plus  basse obtenue.
INMNFPRESDIAG_vidUpdtMnfPresStll|F|();|FCT1.5|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|La pression collecteur est recopiée dans la variable de mémorisation de la pression collecteur « Moteur calé ».
