Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|B|(argin uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0|Fonction de production des variables FRM.|
TARIDLSTA_vidCalc_Idl_tar_engine|A|();|FCT1.9|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Ce bloc calcule la consigne de ralenti pour les différents besoins du moteur. Il prend en compte le type de carburant, les modes de combustion, ainsi que la température d’huile moteur.|
TARIDLSTA_vidCalc_Idl_tar_fault|B|();|FCT1.6|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Ce bloc calcule la consigne de régime de ralenti en cas de mode dégradé.|
TARIDLSTA_vidCalc_Idl_tar_Gsl|B|();|FCT2.1|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La consigne de régime de ralenti essence se décompose en 1 sous-bloc : Une consigne de régime de ralenti pour la purge canister.|
TARIDLSTA_vidCalc_Idl_tar_lo_bat|B|();|FCT2.9|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Fonction qui calcule TqSys_nTarIdlBatt: régime de ralenti demandé qui s’active si la tension de batterie est basse.|
TARIDLSTA_vidCalc_Idl_tar_normal|B|();|FCT1.7|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La consigne de régime de ralenti de base est calculée à partir des informations rapport de boite de vitesse et température moteur.|
TARIDLSTA_vidCalc_Idl_tar_spd_ex|B|();|FCT2.5|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Ce bloc définit une condition qui permet de supprimer la modification du régime de ralenti cible demandée par les consommateurs.|
TARIDLSTA_vidCalc_Idl_tar_ss|B|();|FCT3.1|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Fonction qui calcule TqSys_nTarIdlStgPmp: régime de ralenti requis par la direction assistée (SS).|
TARIDLSTA_vidCalc_Idl_tar_thp|B|();|FCT2.10|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Fonction du calcule de TqSys_nTarIdlWaHt: régime de ralenti demandé si au moins un des thermoplongeurs est actif (pour le chauffage de l’habitacle).|
TARIDLSTA_vidCalc_Idl_tar_Toil|B|();|FCT2.3|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Ce bloc calcule une consigne de régime de ralenti en fonction de la température d’huile moteur.|
TARIDLSTA_vidCalc_Idl_tar_UH|B|();|FCT2.8|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Fonction de calcul de TqSys_nTarIdl_bUHCtl  : régime de ralenti demandé qui est utilisé quand la demande externe CoPtUH_bEngAsiReq est vrai.|
TARIDLSTA_vidCalc_idl_target_ext|C|();|FCT3.9|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La consigne de ralenti finale est la consigne de ralenti calculée précédemment ou bien une consigne issue d’une fonction externe.|
TARIDLSTA_vidCalc_Idl_target_max|B|();|FCT1.4|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Dans ce bloc, on calcule les différents régimes cible de ralenti en fonction : des erreurs systèmes, des consommateurs, de la température d’eau moteur, du rapport de boite, de la pression atmosphérique, des requêtes externes.|
TARIDLSTA_vidCalc_Idl_trq_req|B|();|FCT1.3|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Le flag de sortie de ce bloc peut être utilisé pour arrêter le contrôleur de ralenti à haut régime, mais c’est optionnel. 2 seuils de régime sont utilisés pour éviter des oscillations à la limite entre la zone de ralenti et la zone hors ralenti.|
TARIDLSTA_vidCalc_Idlle_target|B|();|FCT1.2|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La fonction de consigne de régime de ralenti se décompose en 3 sous-blocs : Calcul de l’activation de la régulation de ralenti, Calcul de la consigne de régime de ralenti, de by-pass de la consigne de régime de ralenti pour des besoins extérieurs.|
TARIDLSTA_vidCalc_info|B|();|FCT1.5|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Ce bloc calcule le rapport de boite en ajoutant le cas neutre roulant pour la BVM, et en prenant en compte les états boîte pour les BVA/BVMP. Ce bloc calcule aussi la valeur de l’appui frein interne à la fonction.|
TARIDLSTA_vidCalc_spd_gbx_output|C|();|FCT3.3|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Dans ce bloc, on vient sélectionner l’information nécessaire pour calculer le régime en sortie de boîte. Soit à partir de l’information régime moyen roue avant Ext_nAvrFrntWhlCAN, soit à partir de la vitesse véhicule Veh_spdVeh.|
TARIDLSTA_vidCalcTarNorSlewInput|C|();|FCT1.8|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Calcul des entrées du bloc RateLimiter (Norm et Neut)|
TARIDLSTA_vidClc_Idl_tar_vac_pmp|B|();|FCT3.10|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Dans ce Bloc, TqSys_nTarIdlVacPmp est un régime de ralenti qui est demandé lorsque la pression mastervac est trop faible pour assurer un freinage afin d’éviter des phénomènes d’oscillations de la consigne de ralenti.|
TARIDLSTA_vidEntryInit|C|();|SCH.1|TARIDLSTA|1|V02 NT 10 08533||||0|0|0|0|Fonction Reset|
TARIDLSTA_vidFrze_Idl_tar_AT_eng|A|();|FCT3.6|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Lorsque l’on détecte un engagement (c'est-à-dire TqSys_bDragRed passe à 2), on fige la consigne de ralenti de base à la dernière valeur calculée, pendant une durée calibrable.|
TARIDLSTA_vidIdl_tar_Canister|B|();|FCT2.2|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La fonction de consigne de régime de ralenti purge canister est fonction du facteur filtré d’adaptation pour purge canister. Cette consigne est inhibée ou activée par CanPurg_bTarIdlCanPurg et inhibé lorsque le rapport de boite est supérieur à 0.|
TARIDLSTA_vidInitOutput|C|();|FCT1.1|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Fonction d'initialisation des variables produites par la spec.|
TqSys_Sdl10ms_nTarIdl|A|();|SCH.2|TARIDLSTA|1|V02 NT 10 08533||||0|0|0|0|Fonction scheduler de récurrence 10ms.|
