Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
SECUBV_vidAL4AT8Presente|A|();|FCT4.2|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Ce bloc traite AL4/AT8  présente .|
SECUBV_vidSecurisationSpecifAL4|A|();|FCT1.7|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Ce bloc effectue l’analyse de la prise en main du couple moteur par l’AL4|
SECUBV_vidSecurisationTempsSIP|A|();|FCT1.6|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Cette fonction effectue l’analyse de la prise en main du couple moteur par les BVMP/BVA|
SECUBV_vidStrategieRAZFctBoite|C|();|FCT2.1|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Cette fonction décrit la stratégie de reset pour la fonction boite.|
SECUBV_vidSyntheseDefaut|C|();|FCT1.8|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Cette fonction effectue la synthèse entre les défauts CMM boite et l’état de la chaine de traction.|
SECUBV_vidTraiChgRapInCpleNiv1V2|C|();|FCT2.3|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Cette fonction gère la dynamique d’activation du niveau 1 qui a lieu lors de deux appels de la fonction de surveillance au niveau 2.|
SECUBV_vidTraiChgRapInCpleRst|C|();|FCT2.8|SECUBV|0|V02 NT 10 01251||||0|0|0|0|remise à zéro de SftyMgt_bNbTarGearChgTqIRst.|
SECUBV_vidTraiChgRapInCpleRun|C|();|FCT2.7|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Ce bloc compare les valeurs de rapport 1 à 1 pour détecter un changement|
SECUBV_vidTraiChgRapSIPRst|C|();|FCT2.6|SECUBV|0|V02 NT 10 01251||||0|0|0|0|remise à zéro de SftyMgt_bNbTarGearChgSIPRst.|
SECUBV_vidTraiChgRapSIPRun|C|();|FCT2.5|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Ce bloc compare les valeurs de raport 1 à 1 pour détecter une différence|
SECUBV_vidTraiChgRapSIPSdlNiv1V2|C|();|FCT2.2|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Cette fonction gère la dynamique d’activation du niveau 1 qui a lieu lors de deux appels de la fonction de surveillance au niveau 2.|
SECUBV_vidTrRegulRegAM6Rst|C|();|FCT2.10|SECUBV|0|V02 NT 10 01251||||0|0|0|0|remise à zéro de SftyMgt_bNRegReqChgSIPRst|
SECUBV_vidTrRegulRegAM6Run|D|();|FCT2.9|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Compare les valeurs de régul de régime AM6 1 à 1 pour détecter un changement.|
SECUBV_vidTrRegulRegAM6SdlNiv1V2|C|();|FCT2.4|SECUBV|0|V02 NT 10 01251||||0|0|0|0|Cette fonction gère la dynamique d’activation du niveau 1 qui a lieu lors de deux appels de la fonction de surveillance au niveau 2.|
SftyMgt_Sdl40ms_GBxChk|C|();|SCH.2|SECUBV|1|V02 NT 10 01251||||0|0|0|0|L’évènement d’appel des fonctions permettants de sécuriser les demandes de couple boites BVA ou BVMP|
