Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean ;|1|HEADER|1|NONE||||0|0|0|0|
PWRSEN_ACQ_vidAlimSwitchSdlFast|C|();|FCT6.5|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Ce switch sert à redistribuer les valeurs d’acquisitions de la tension d’alimentation sur le capteur de position papillon qui nécessite un calcul de la tension d’alimentation à une récurrence rapide.
PWRSEN_ACQ_vidBoostPresCf|B|();|FCT5.5|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de la pression de suralimentation
PWRSEN_ACQ_vidCluPosnCf|B|();|FCT6.1|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de position de l'embrayage
PWRSEN_ACQ_vidDegradModePwSp1Sdf|E|();|FCT1.4|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|C'est cette valeur brute qui est utilisée par la sûreté de fonctionnement. Si elle est hors des seuils tolérables, on fige la valeur à sa valeur précédente. Lorsque la panne est mémorisée, le mode dégradé est assuré par la  sûreté de fonctionnement.
PWRSEN_ACQ_vidDegradModePwSp2Sdf|E|();|FCT2.4|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|C'est cette valeur brute qui est utilisée par la sûreté de fonctionnement. Si elle est hors des seuils tolérables, on fige la valeur à sa valeur précédente. Lorsque la panne est mémorisée, le mode dégradé est assuré par la sûreté de fonctionnement.
PWRSEN_ACQ_vidDegradModePwSp3Sdf|C|();|FCT3.4|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|C'est cette valeur brute qui est utilisée par la sûreté de fonctionnement. Si elle est hors des seuils tolérables, on fige la valeur à sa valeur précédente. Lorsque la panne est mémorisée, le mode dégradé est assuré par la sûreté de fonctionnement.
PWRSEN_ACQ_vidDegradModePwSp4Sdf|B|();|FCT4.4|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|C'est cette valeur brute qui est utilisée par la sûreté de fonctionnement. Si elle est hors des seuils tolérables, on fige la valeur à sa valeur précédente. Lorsque la panne est mémorisée, le mode dégradé est assuré par la sûreté de fonctionnement.
PWRSEN_ACQ_vidDetectFailPwSp1Sdf|E|();|FCT1.3|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La tension mesurée est comparée aux seuils tolérables pour la SdF (possibilité de  reconstruire les informations papillon et pédale).
PWRSEN_ACQ_vidDetectFailPwSp2Sdf|E|();|FCT2.3|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Cette fonction détecte les éventuels défauts sur l'alimentation 2 pour la sûreté de fonctionnement.
PWRSEN_ACQ_vidDetectFailPwSp3Sdf|C|();|FCT3.3|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La tension mesurée est comparée aux seuils tolérables pour la SdF (possibilité de reconstruire les informations papillon et pédale).
PWRSEN_ACQ_vidDetectFailPwSp4Sdf|B|();|FCT4.3|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La tension mesurée est comparée aux seuils tolérables pour la SdF (possibilité de reconstruire les informations papillon et pédale).
PWRSEN_ACQ_vidDiagVRawMes1|C|();|FCT1.5|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La détection du défaut décrite ici est utilisée pour les capteurs qui ne tolèrent pas d'écart  important de la tension d'alim capteur (mesure pression, ...).
PWRSEN_ACQ_vidDiagVRawMes2|C|();|FCT2.5|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La détection du défaut décrite ici est utilisée pour les capteurs qui ne tolèrent pas d'écart important de la tension d'alim capteur (mesure pression, ...).
PWRSEN_ACQ_vidDiagVRawMes3|C|();|FCT3.5|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La détection du défaut décrite ici est utilisée pour les capteurs qui ne tolèrent pas d'écart important de la tension d'alim capteur (mesure pression, ...).
PWRSEN_ACQ_vidDiagVRawMes4|B|();|FCT4.5|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La détection du défaut décrite ici est utilisée pour les capteurs qui ne tolèrent pas d'écart important de la tension d'alim capteur (mesure pression, ...).
PWRSEN_ACQ_vidExCmCf|B|();|FCT5.10|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de position arbre à cames (AAC) d'échappement
PWRSEN_ACQ_vidInCmCf|B|();|FCT5.9|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de position arbre à cames (AAC) d'admission
PWRSEN_ACQ_vidInitVEndValMeas1|E|();|FCT1.6|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque l’on a une panne présente, la valeur fournie en sortie est la valeur par défaut.
PWRSEN_ACQ_vidInitVEndValMeas2|E|();|FCT2.6|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque on a un défaut présent au Reset, la valeur fournie en sortie est la valeur par défaut. Cette valeur ne  doit pas être utilisée par les modules liés à la sûreté de fonctionnement.
PWRSEN_ACQ_vidInitVEndValMeas3|C|();|FCT3.6|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsqu’une panne est présente, la valeur fournie en sortie est la valeur par défaut
PWRSEN_ACQ_vidInitVEndValMeas4|B|();|FCT4.6|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque l’on a une panne présente, la valeur fournie en sortie est la valeur par défaut.
PWRSEN_ACQ_vidnEngCf|B|();|FCT6.3|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de régime moteur Uni ou bidirectionnelle
PWRSEN_ACQ_vidNeutCf|B|();|FCT6.2|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de point mort BVM
PWRSEN_ACQ_vidPfuCf|B|();|FCT5.6|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur pression rail
PWRSEN_ACQ_vidptOilCf|B|();|FCT5.8|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de pression et de température d'huile
PWRSEN_ACQ_vidTrbActCf|B|();|FCT5.7|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de position de la soupape Wastegate
PWRSEN_ACQ_vidVEndValMeas1|F|();|FCT1.7|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque le défaut sur l'ALIM 1 est détecté, on fige la valeur envoyée au reste du CMM à la  dernière valeur valide.  Aussi, lorsqu'il est confirmé on applique une valeur par défaut est calibrable à la sortie du  module d'acquisition.
PWRSEN_ACQ_vidVEndValMeas2|F|();|FCT2.7|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque le défaut sur l'ALIM 2 est détecté, on fige la valeur envoyée au reste du CMM à la  dernière valeur valide.  Aussi, lorsqu'il est confirmé on applique une valeur par défaut est calibrable à la sortie du  module d'acquisition.
PWRSEN_ACQ_vidVEndValMeas3|C|();|FCT3.7|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Ce module spécifie la gestion des modes dégradés.
PWRSEN_ACQ_vidVEndValMeas4|B|();|FCT4.7|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque le défaut sur l'ALIM 4 est détecté, on fige la valeur envoyée au reste du CMM à la  dernière valeur valide.  Aussi, lorsqu'il est confirmé on applique une valeur par défaut est calibrable à la sortie du  module d'acquisition.
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0|
