Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|V01 NT 06 02985||||0|0|0|0||
THRSERVO_vidFrictConstCounter|B|();|FCT4.3|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Ce bloc décompte des temporisation avant l'activation ou la désactivation de la stratégie de compensation des frottements secs.|
THRSERVO_vidFrictionCompensation|B|();|FCT4.1|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Stratégie de compensation des  frottements secs.|
THRSERVO_vidFrictionDetection|C|();|FCT4.2|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Ce bloc défini la détection d’accrochage du papillon dû à des frottements secs.|
THRSERVO_vidInitControlVariables|C|();|FCT1.3|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|initialisation des variables des algorithmes de l’asservissement|
THRSERVO_vidInitOutput|D|();|FCT1.1|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Fonction d'initialisation|
THRSERVO_vidInitTempo|A|();|FCT1.4|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|initialisation d’une temporisation durant laquelle le calcul d’estimation du courant est inhibé|
THRSERVO_vidIntegInitOnSetGainIO|C|();|FCT5.4|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Ce bloc réinitialise le terme intégral pour garantir la continuité de la commande, lors d’un changement de gains.|
THRSERVO_vidManageLimpHome|C|();|FCT2.9|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|La stratégie de franchissement du limp-home consiste à adapter les 4 gains du retour d’état à l’intérieur d’une zone calibrable autour du limp-home.|
THRSERVO_vidManagerThrottleState|A|();|FCT5.1|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Stateflow qui définit l’état de l’asservissement papillon selon la position de ce dernier et gère les événements relatifs à la commutation des gains fortsou faibles.|
THRSERVO_vidMedianFilter|B|();|FCT2.6|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Les entrées du filtre médian sont les trois dernières valeurs de la vitesse.  La sortie du filtre médian est la valeur non extrême des trois entrées. Un gain de retard permet de filtrer les valeurs de la vitesse pour éviter de trop brusques variations.|
THRSERVO_vidSetControlGainsIn|A|();|FCT5.3|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Ce bloc positionnne les gains du retour d’état sur les valeurs fortes (dans la  zone "limp-home")|
THRSERVO_vidSetControlGainsOut|A|();|FCT5.2|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Ce bloc positionnne  les gains du  retour d’état  sur  les valeurs  faibles  (en  dehors de la zone "limp-home")|
THRSERVO_vidSetFrictStatus|B|();|FCT4.4|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Automate de la stratégie de frottements secs.|
THRSERVO_vidSetWindowSize|C|();|FCT1.10|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|L'algorithme utilisé pour déterminer la taille de la fenêtre se base sur la dispersion des positions autour d'une valeur moyenne estimée de la dérivée et sur l'amplitude des variations de la position.|
THRSERVO_vidUpdatePositionValues|B|();|FCT1.9|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|Mise à jour des valeurs retardées de la position papillon utilisées dans l'algorithme de détermination de la taille de la fenêtre|
THRSERVO_vidVelocityWindow1|B|();|FCT2.2|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|calcul de la vitesse du rotor estimée avec une fenêtre de taille 1|
THRSERVO_vidVelocityWindow2|B|();|FCT2.3|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|calcul de la vitesse du rotor estimée avec une fenêtre de taille 2|
THRSERVO_vidVelocityWindow3|B|();|FCT2.4|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|calcul de la vitesse du rotor estimée avec une fenêtre de taille 3|
THRSERVO_vidVelocityWindow4|B|();|FCT2.5|THRSERVO|0|V02 NT 08 04514||||0|0|0|0|calcul de la vitesse du rotor estimée avec une fenêtre de taille 4|
