Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0|
SYNCENGCLC_vidCorrectionArea|A|();|FCT1.9|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Cette fonction calcule la moyenne des sommes et détermine les corrections par cylindre à apporter au régime courant et permet d’affecter ces corrections et le booléen d’apprentissage à leurs vecteurs correspondants.
SYNCENGCLC_vidEchtSumCyl_1_Areas|A|();|FCT2.5|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Calcul de la somme des régimes et du nombre d’échantillon du premier cylindre.
SYNCENGCLC_vidEchtSumCyl_2_Areas|A|();|FCT2.6|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Calcul de la somme des régimes et du nombre d’échantillon du deuxième cylindre.
SYNCENGCLC_vidEchtSumCyl_3_Areas|A|();|FCT2.7|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Calcul de la somme des régimes et du nombre d’échantillon du troisième cylindre.
SYNCENGCLC_vidEchtSumCylAllAreas|A|();|FCT1.8|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Ces 3 blocs effectuent, pour chaque cylindre, les sommes des régimes avec leur nombre d’échantillon.
SYNCENGCLC_vidEcritureAdapt|B|();|FCT3.5|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Fonction de mise à jour des données adaptatives
SYNCENGCLC_vidEngineSpeedMemr|C|();|FCT1.7|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Ce sous système permet de déterminer la zone où se situe le régime moteur courant et le numéro de la plage active ainsi que le numéro du groupe de correction et de mémoriser le régime moteur par cylindre correspondant à la phase de combustion.
SYNCENGCLC_vidEngSpdInsideArea|B|();|FCT2.1|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Ce sous système envoie un indicateur de présence du régime moteur dans la plage de régime correspondante. Par ailleurs ce sous système est activé lorsque que le régime moteur se situe dans la plage calibrable Sync_ThdnEngClcMax_C et Sync_ThdnEngClcMin_C.
SYNCENGCLC_vidEngSpdMemrCylMot|B|();|FCT2.3|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Le principe de ce bloc est de mémoriser le régime moteur par cylindre correspondant à la phase de combustion, et mise à jour à la fin de chaque cycle moteur.
SYNCENGCLC_vidInitOutput|A|();|FCT1.2|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Initialisation des variables produites dans le module.
SYNCENGCLC_vidMngIdlSpdInsidArea|A|();|FCT3.1|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Ce bloc test la présence du régime de ralenti dans la zone active.
SYNCENGCLC_vidProtectCalcSomme|A|();|FCT2.4|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Cette fonction permet de protéger le calcul de chaque somme et nombres d’échantillons lors de décélérations lentes contre le dépassement de leur dynamique.
SYNCENGCLC_vidResetnEngClc|A|();|FCT1.1|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Au reset calculateur, le régime recentré est égal au régime moteur.
SYNCENGCLC_vidSelectCorrection|A|();|FCT3.4|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Selection de la correction en fonction du numéro de cylindre en phase de combustion.
