Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|4|HEADER|1|||||0|0|0|0|Get FRM Value|
VLVACTEXACQ_vidExhaustResyn|D|();|FCT3.3|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction de resynchronisation du compteur dent AAC sur une panne présente pmh ou/et décalage|
VLVACTEXACQ_vidExhaustResynchro|B|();|FCT1.7|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction de resynchronisation du compteur dent AAC sur une panne présente pmh ou/et décalage|
VLVACTEXACQ_vidExhaustRisingCapt|K|();|FCT2.1|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction  de prise en compte du nombre de dents de la cible AAC|
VLVACTEXACQ_vidExhautsDiagnosis|B|();|FCT2.5|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Cette fonction réalise le diagnostic pmh|
VLVACTEXACQ_vidInit|C|();|FCT1.3|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Ce bloc initialise, sur front montant de Moteur_synchronisé, les variables suivantes : - Vta_exhaust_camshaft_shift et Vta_exhaust_tooth_counter (compteur de dents )|
VLVACTEXACQ_vidInitOutput|J|();|FCT1.1|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Initialisation des variables de sortie|
VLVACTEXACQ_vidInitPannes|B|();|FCT1.2|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Les pannes VVT présentes sont initialisées sur clé off/on afin de ne pas rester figées entre le clé on et le démarrage du moteur.|
VLVACTEXACQ_vidIntCamshaftEdge|B|();|FCT3.5|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Sur l’événement ExCam, le compteur de fronts utiles est incrémenté.|
VLVACTEXACQ_vidMissToothbMonRun|A|();|FCT3.8|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction de calcul de la variable VlvAct_bMonRunMissToothVlvActEx.|
VLVACTEXACQ_vidORngShiftbMonRun|A|();|FCT3.7|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction de calcul de la variable VlvAct_bMonRunORngShiftVlvActEx.|
VLVACTEXACQ_vidORngSpdVlvbMonRun|A|();|FCT3.6|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction de calcul de la variable VlvAct_bMonRunORngSpdVlvActEx.|
VLVACTEXACQ_vidSecondOrderFilter|H|();|FCT3.2|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction de calcul d'un filtre du second d'ordre|
VLVACTEXACQ_vidTDCDiagbMonRun|A|();|FCT3.9|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Fonction de calcul de la variable VlvAct_bMonRunTDCDiagVlvActEx.|
VLVACTEXACQ_vidTraitementXDent|E|();|FCT2.2|VLVACTEXACQ|0|PTS_DOC_6588648||||0|0|0|0|Detection d'un  fonctionnement  sur une dent  ratée   en contrôlant  le  temps entre deux dents consécutives.|
